pccs,pccs_attr,munsell,rgb
v1,1:pR-4.0-9s,10RP 4.0/13.5,#B5184F
v2,2: R-4.5-9s,4R 4.0/14.0,#CD1F42
v3,3:yR-5.0-9s,7R 4.0/14.0,#DD3737
v4,4:rO-5.5-9s,10R 4.0/14.0,#E55125
v5,5: O-6.0-9s,4YR 4.0/13.5,#E66D00
v6,6:yO-7.0-9s,8YR 4.0/13.0,#F29500
v7,7:rY-7.5-9s,2Y 4.0/13.0,#EEAC00
v8,8: Y-8.0-9s,5Y 4.0/13.0,#E2C500
v9,9: Y-7.5-9s,8Y 4.0/12.0,#C8BB00
v10,10:YG-7.0-9s,3GY 4.0/12.0,#A4B300
v11,11:yG-6.0-9s,8GY 4.0/11.5,#4AA315
v12,12: G-5.5-9s,3G 4.0/11.0,#009A55
v13,13:bG-5.0-9s,9G 4.0/10.5,#008C69
v14,14:BG-4.5-9s,5BG 4.0/10.0,#007E77
v15,15:BG-4.5-9s,10BG 4.0/10.0,#007C8C
v16,16:gB-4.0-9s,5B 4.0/10.0,#006B93
v17,17: B-3.5-9s,10B 4.0/10.5,#005A91
v18,18: B-3.5-9s,3PB 4.0/11.5,#00569C
v19,19:pB-3.5-9s,6PB 4.0/11.5,#00509D
v20,20: v-3.5-9s,9PB 4.0/11.5,#474798
v21,21:bP-3.5-9s,3P 4.0/11.5,#663E8C
v22,22: P-3.5-9s,7P 4.0/11.5,#793580
v23,23:rP-3.5-9s,1RP 4.0/11.5,#892C71
v24,24:RP-4.0-9s,6RP 4.0/12.5,#AB2664
b1,1:pR-5.5-8s,10PR 5.5/11.5,#D75674
b2,2: R-6.0-8s,4R 6.0/12.0,#F15D69
b3,3:yR-6.0-8s,7R 6.0/12.0,#F16056
b4,4:rO-6.5-8s,10R 6.5/11.5,#F7774D
b5,5: O-7.0-8s,4YR 7.0/11.5,#FB8D3D
b6,6:yO-7.5-8s,8YR 7.5/11.5,#FBA52F
b7,7:rY-8.0-8s,2Y 8.0/11.0,#F9BB2B
b8,8: Y-8.5-8s,5Y 8.5/11.0,#F2D324
b9,9: Y-8.0-8s,8Y 8.0/10.0,#D9C81B
b10,10:YG-7.5-8s,3GY 7.5/10.0,#B7BF19
b11,11:yG-7.0-8s,8GY 7.0/9.5,#76BB4C
b12,12: G-6.5-8s,3G 6.5/9.0,#00B275
b13,13:bG-6.0-8s,9G 6.0/9.0,#00A583
b14,14:BG-6.0-8s,5BG 6.0/8.5,#00A39B
b15,15:BG-5.5-8s,10BG 5.5/8.5,#0094A1
b16,16:gB-5.5-8s,5B 5.5/8.5,#008FB3
b17,17: B-5.0-8s,10B 5.0/9.0,#007DAF
b18,18: B-5.0-8s,3PB 5.0/10.0,#1979BA
b19,19:pB-5.0-8s,6PB 5.0/10.0,#4D73BB
b20,20: v-5.0-8s,9PB 5.0/10.0,#716BB6
b21,21:bP-5.0-8s,3P 5.0/10.0,#8B63AC
b22,22: P-5.0-8s,7P 5.0/10.0,#9C5DA0
b23,23:rP-5.0-8s,1RP 5.0/10.0,#AB5792
b24,24:RP-5.5-8s,6RP 5.5/10.5,#CC5C87
s2,2: R-4.5-8s,4R 4.5/12.0,#C13547
s4,4:rO-5.0-8s,10R 5.0/11.5,#C7512C
s6,6:yO-6.5-8s,8YR 6.5/11.5,#DB8B08
s8,8:yO-7.5-8s,5Y 7.5/11.0,#D2B700
s10,10:YG-6.5-8s,3GY 6.5/10.0,#9AA400
s12,12: G-5.0-8s,3G 5.0/9.0,#008A52
s14,14:BG-4.5-8s,5BG 4.5/8.5,#007B75
s16,16:gB-4.0-8s,5B 4.0/8.5,#006A8B
s18,18: B-3.5-8s,3PB 3.5/10.0,#005692
s20,20: v-3.5-8s,9PB 3.5/10.0,#4B488E
s22,22: P-3.5-8s,7P 3.5/10.0,#753A7A
s24,24:RP-4.0-8s,6RP 4.0/10.5,#A03663
dp2,2: R-3.5-8s,4R 3.5/11.5,#9F1B34
dp4,4:rO-4.0-8s,10R 4.0/11.0,#A53B1B
dp6,6:yO-5.0-8s,8YR 5.0/11.0,#AA6600
dp8,8:yO-6.0-8s,5Y 6.0/10.5,#A48F00
dp10,10:YG-5.0-8s,3GY 5.0/9.5,#717D00
dp12,12: G-4.0-8s,3G 4.0/8.0,#006F3E
dp14,14:BG-3.5-8s,5BG 3.5/8.0,#00625C
dp16,16:gB-3.0-8s,5B 3.0/8.0,#00526F
dp18,18: B-2.5-8s,3PB 2.5/9.5,#004075
dp20,20: v-2.5-8s,9PB 2.5/9.5,#343472
dp22,22: P-2.5-8s,7P 2.5/9.5,#5A265F
dp24,24:RP-3.0-8s,6RP 3.0/10.0,#811F4C
lt2+,2: R-7.0-6s,4R 7.0/8.0,#F28C8E
lt4+,4:rO-7.5-6s,10R 7.5/8.0,#FF9E7D
lt6+,6:yO-8.0-6s,8YR 8.0/8.0,#FCB869
lt8+,8:yO-8.5-6s,5Y 8.5/7.5,#EDD267
lt10+,10:YG-8.0-6s,3GY 8.0/7.0,#CACA61
lt12+,12: G-7.5-6s,3G 7.5/6.0,#73C89C
lt14+,14:BG-7.0-6s,5BG 7.0/6.0,#3FABA4
lt16+,16:gB-6.5-6s,5B 6.5/6.0,#52A6BF
lt18+,18: B-6.0-6s,3PB 6.0/7.0,#6591C0
lt20+,20: v-6.0-6s,9PB 6.0/7.0,#8E87BE
lt22+,22: P-6.0-6s,7P 6.0/7.0,#AC7EAE
lt24+,24:RP-6.5-6s,6RP 6.5/7.5,#D98295
lt2,2: R-7.5-5s,4R 7.5/12.0,#F59FA0
lt4,4:rO-8.0-5s,10R 8.0/11.5,#FFB195
lt6,6:yO-8.5-5s,8YR 8.5/11.5,#FFC887
lt8,8:yO-9.0-5s,5Y 9.0/11.0,#F9E08A
lt10,10:YG-8.5-5s,3GY 8.5/10.0,#D9D784
lt12,12: G-8.0-5s,3G 8.0/9.0,#8DD3AD
lt14,14:BG-7.5-5s,5BG 7.5/8.5,#71C5BE
lt16,16:gB-7.0-5s,5B 7.0/8.5,#71B1C7
lt18,18: B-6.5-5s,3PB 6.5/10.0,#7E9DC3
lt20,20: v-6.5-5s,9PB 6.5/10.0,#9C95C1
lt22,22: P-6.5-5s,7P 6.5/10.0,#B48FB5
lt24,24:RP-7.0-5s,6RP 7.0/10.5,#D995AC
sf2,2: R-6.0-5s,4R 6.0/6.5,#C8787A
sf4,4:rO-6.5-5s,10R 6.5/6.5,#D5896F
sf6,6:yO-7.0-5s,8YR 7.0/6.5,#D59F62
sf8,8:yO-7.5-5s,5Y 7.5/6.0,#CCB664
sf10,10:YG-7.0-5s,3GY 7.0/5.5,#AEAD5F
sf12,12: G-6.5-5s,3G 6.5/5.0,#66A986
sf14,14:BG-6.0-5s,5BG 6.0/5.0,#499B95
sf16,16:gB-5.5-5s,5B 5.5/5.0,#498A9E
sf18,18: B-5.0-5s,3PB 5.0/5.5,#58779A
sf20,20: v-5.0-5s,9PB 5.0/5.5,#756F99
sf22,22: P-5.0-5s,7P 5.0/5.5,#8B698D
sf24,24:RP-5.5-5s,6RP 5.5/6.0,#AE6F85
d2,2: R-4.5-5s,4R 4.5/6.5,#9D5456
d4,4:rO-5.0-5s,10R 5.0/6.5,#A9634C
d6,6:yO-5.5-5s,8YR 5.5/6.5,#A9783F
d8,8:yO-6.0-5s,5Y 6.0/6.0,#A18E40
d10,10:YG-5.5-5s,3GY 5.5/5.5,#85863C
d12,12: G-5.0-5s,3G 5.0/5.0,#418261
d14,14:BG-4.5-5s,5BG 4.5/5.0,#1C7570
d16,16:gB-4.0-5s,5B 4.0/5.0,#1F6578
d18,18: B-3.5-5s,3PB 3.5/5.5,#345474
d20,20: v-3.5-5s,9PB 3.5/5.5,#514D72
d22,22: P-3.5-5s,7P 3.5/5.5,#664768
d24,24:RP-4.0-5s,6RP 4.0/6.0,#854C60
dk2,2: R-2.5-5s,4R 2.5/6.0,#642A2E
dk4,4:rO-3.0-5s,10R 3.0/6.0,#6F3826
dk6,6:yO-3.5-5s,8YR 3.5/6.0,#704B1A
dk8,8:yO-4.0-5s,5Y 4.0/5.5,#6B5E1B
dk10,10:YG-3.5-5s,3GY 3.5/5.0,#535617
dk12,12: G-3.0-5s,3G 3.0/4.5,#185138
dk14,14:BG-2.5-5s,5BG 2.5/4.5,#004542
dk16,16:gB-2.5-5s,5B 2.5/4.5,#004252
dk18,18: B-2.0-5s,3PB 2.0/5.0,#14344E
dk20,20: v-2.0-5s,9PB 2.0/5.0,#312E4D
dk22,22: P-2.0-5s,7P 2.0/5.0,#422944
dk24,24:RP-2.5-5s,6RP 2.5/5.5,#5D2D3F
p2+,2: R-8.0-3s,4R 8.0/3.5,#E9B8B8
p4+,4:rO-8.0-3s,10R 8.0/3.5,#E9BAAA
p6+,6:yO-8.5-3s,8YR 8.5/3.5,#EFCCAA
p8+,8:yO-9.0-3s,5Y 9.0/3.0,#EFE0B5
p10+,10:YG-8.5-3s,3GY 8.5/3.0,#D8D5A8
p12+,12: G-8.0-3s,3G 8.0/3.0,#A5CEB6
p14+,14:BG-8.0-3s,5BG 8.0/3.0,#9ECDC9
p16+,16:gB-8.0-3s,5B 8.0/3.0,#A5CAD7
p18+,18: B-8.0-3s,3PB 8.0/3.0,#A8B7CD
p20+,20: v-7.5-3s,9PB 7.5/3.0,#B7B3CC
p22+,22: P-7.5-3s,7P 7.5/3.0,#C4AFC4
p24+,24:RP-7.5-3s,6RP 7.5/3.0,#DEBBC6
p2,2: R-8.5-2s,4R 8.5/2.0,#E8CBCB
p4,4:rO-8.5-2s,10R 8.5/2.0,#E8CCC3
p6,6:yO-9.0-2s,8YR 9.0/2.0,#F3DDC9
p8,8:yO-9.0-2s,5Y 9.0/2.0,#EBE0C4
p10,10:YG-9.0-2s,3GY 9.0/2.0,#E5E2C4
p12,12: G-8.5-2s,3G 8.5/2.0,#BDD9C9
p14,14:BG-8.5-2s,5BG 8.5/2.0,#B9D8D5
p16,16:gB-8.5-2s,5B 8.5/2.0,#BED6DF
p18,18: B-8.0-2s,3PB 8.0/2.0,#BAC4D3
p20,20: v-8.0-2s,9PB 8.0/2.0,#C5C2D3
p22,22: P-8.0-2s,7P 8.0/2.0,#CEBFCE
p24,24:RP-8.5-2s,6RP 8.5/2.0,#E4CCD3
ltg2,2: R-7.0-2s,4R 7.0/2.0,#BDA2A2
ltg4,4:rO-7.0-2s,10R 7.0/2.0,#BDA39A
ltg6,6:yO-7.5-2s,8YR 7.5/2.0,#C7B3A0
ltg8,8:yO-7.5-2s,5Y 7.5/2.0,#C0B69B
ltg10,10:YG-7.5-2s,3GY 7.5/2.0,#BAB89B
ltg12,12: G-7.0-2s,3G 7.0/2.0,#95AFA0
ltg14,14:BG-7.0-2s,5BG 7.0/2.0,#90AEAB
ltg16,16:gB-7.0-2s,5B 7.0/2.0,#95ACB5
ltg18,18: B-6.5-2s,3PB 6.5/2.0,#929CAA
ltg20,20: v-6.5-2s,9PB 6.5/2.0,#9C99A9
ltg22,22: P-7.0-2s,7P 7.0/2.0,#A497A4
ltg24,24:RP-6.5-2s,6RP 6.5/2.0,#B9A3AA
g2,2: R-4.0-2s,4R 4.0/2.0,#6F5858
g4,4:rO-4.0-2s,10R 4.0/2.0,#6F5951
g6,6:yO-4.5-2s,8YR 4.5/2.0,#776656
g8,8:yO-4.5-2s,5Y 4.5/2.0,#716951
g10,10:YG-4.5-2s,3GY 4.5/2.0,#6C6A51
g12,12: G-4.0-2s,3G 4.0/2.0,#576E61
g14,14:BG-4.0-2s,5BG 4.0/2.0,#536E6C
g16,16:gB-4.0-2s,5B 4.0/2.0,#4C6068
g18,18: B-3.5-2s,3PB 3.5/2.0,#4A525E
g20,20: v-3.5-2s,9PB 3.5/2.0,#52505E
g22,22: P-3.5-2s,7P 3.5/2.0,#5A4E5A
g24,24:RP-4.0-2s,6RP 4.0/2.0,#6C585E
dkg2,2: R-2.0-2s,4R 2.0/1.5,#3D2F2F
dkg4,4:rO-2.0-2s,10R 2.0/1.5,#3D2F2B
dkg6,6:yO-2.5-2s,8YR 2.5/1.5,#463B30
dkg8,8:yO-2.5-2s,5Y 2.5/1.5,#423C2D
dkg10,10:YG-2.5-2s,3GY 2.5/1.5,#3E3D2D
dkg12,12: G-2.0-2s,3G 2.0/1.5,#27362E
dkg14,14:BG-2.0-2s,5BG 2.0/1.5,#253634
dkg16,16:gB-2.0-2s,5B 2.0/1.5,#273439
dkg18,18: B-1.5-2s,3PB 1.5/1.5,#242931
dkg20,20: v-1.5-2s,9PB 1.5/1.5,#292830
dkg22,22: P-1.5-2s,7P 1.5/1.5,#2E272E
dkg24,24:RP-2.0-2s,6RP 2.0/1.5,#3C2F33
W,N-9.5,N 9.5/,#EFEFEF
Gy-8.5,N-8.5,N 8.5/,#D2D2D2
Gy-7.5,N-7.5,N 7.5/,#B6B6B6
Gy-6.5,N-6.5,N 6.5/,#9B9B9B
Gy-5.5,N-5.5,N 5.5/,#818181
Gy-4.5,N-4.5,N 4.5/,#696969
Gy-3.5,N-3.5,N 3.5/,#525252
Gy-2.5,N-2.5,N 2.5/,#3C3C3C
B,N-1.5,N 1.5/,#292929
